"A1","A2","Block_nr_Condition_3","Block_nr_Condition_4","Q_high","Q_low","acc","acceptable","accuracy","average_response_time","avg_rt","background","bidi","block_eyetracker","block_number","boundary","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_high","correct_instructions","correct_keyboard_response","correct_low","correct_practice_instructions","correct_response","count_GC_sentence_trigger","count_GC_trial_end","count_Setup_Sampling_Rate","count_about_this_experiment","count_acceptability_question","count_block_sequence","count_clear_screen","count_counterbalancingMODE","count_display_sentence","count_drift_correct","count_end_of_exp","count_end_of_practice_1","count_experiment","count_experiment_block_loop","count_experimental_loop","count_eyetracker_log_unicode","count_instructions","count_keyboard_response","count_logger","count_new_sketchpad","count_practice_block_loop","count_practice_instructions","count_practice_loop","count_practice_sequence","count_prepare_gaze_target","count_prepare_sentences","count_pygaze_init","count_pygaze_start_recording","count_pygaze_stop_recording","count_reset_feedback","count_reset_feedback_1","count_select_block","count_select_practice","count_setup_condition","count_show_gaze_target_and_driftcorrect","count_trial_sequence","current_block","current_correct_text","current_question","current_sentence","datetime","description","desired_sampling_rate","disable_garbage_collection","do_practice","experiment_file","experiment_path","fix_start_time","fixated","fixation_start_time","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","freq_condition","fullscreen","gazetarget_height","gazetarget_width","has_question","height","i","index","is_Q","item_nr","key","keyboard_backend","letter_height","live_row","live_row_practice_block_loop","live_row_practice_loop","logfile","mouse_backend","num_words","on_target","opensesame_codename","opensesame_version","pretarget","pretarget_n_words","psychopy_screen","psychopy_suppress_warnings","repeat_cycle","response","response_end_of_exp","response_end_of_practice_1","response_instructions","response_keyboard_response","response_new_sketchpad","response_practice_instructions","response_time","response_time_end_of_exp","response_time_end_of_practice_1","response_time_instructions","response_time_keyboard_response","response_time_new_sketchpad","response_time_practice_instructions","round_decimals","sampler_backend","sentence","sentence_beginning","sentence_high","sentence_low","sentence_number","sentence_start_x","sentence_use","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_mod","subject_nr","subject_parity","t","t1","t2","t_display_on","target","target_word_nr","time_GC_sentence_trigger","time_GC_trial_end","time_Setup_Sampling_Rate","time_about_this_experiment","time_acceptability_question","time_block_sequence","time_clear_screen","time_counterbalancingMODE","time_display_sentence","time_drift_correct","time_end_of_exp","time_end_of_practice_1","time_experiment","time_experiment_block_loop","time_experimental_loop","time_eyetracker_log_unicode","time_instructions","time_keyboard_response","time_logger","time_new_sketchpad","time_practice_block_loop","time_practice_instructions","time_practice_loop","time_practice_sequence","time_prepare_gaze_target","time_prepare_sentences","time_pygaze_init","time_pygaze_start_recording","time_pygaze_stop_recording","time_reset_feedback","time_reset_feedback_1","time_select_block","time_select_practice","time_setup_condition","time_show_gaze_target_and_driftcorrect","time_trial_sequence","title","total_correct","total_response_time","total_responses","trial_end_trigger_fixated","trial_end_trigger_on_target","trial_type","trigger_time_gazetarget","trigger_time_trialend","uniform_coordinates","width","x","x_left_gazetarget","x_left_trialend","x_right_gazetarget","y","y_bottom_gazetarget","y_top_gazetarget","y_top_trialend"
"zanjar","pelear","1","2","¿Propone el texto que es preferible la pasividad ante la falta de equidad?","¿Es mejor dar por terminados los conflictos banales según el autor?","75","True","75","1288","1288","white","yes","EyeLogicLite","1","364","psycho","psycho","psycho","0","relative","1","NO","undefined","1","YES","undefined","1","28","28","28","0","28","0","29","0","28","28","0","0","0","0","0","28","0","28","28","0","0","0","0","0","28","28","0","28","28","0","0","0","0","28","28","28","b2","YES","¿Es mejor dar por terminados los conflictos banales según el autor?","A veces es mejor zanjar discusiones innecesarias y seguir adelante.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","210990.9578999999","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","YES","1080","9","115","YES","99","None","psycho","36","23","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","10","1","Neonatal Nightingale","4.1.8","A veces es mejor ","4","2","yes","0","1","NA","1","1","1","NA","1","2702.3177000001015","NA","1923.9662999999637","2707.675399999973","2702.3177000001015","NA","4789.089399999968","2","psycho","A veces es mejor zanjar discusiones innecesarias y seguir adelante.","A veces es mejor ","A veces es mejor pelear por lo que es correcto y justo en lugar de callar y aceptar la injusticia.","A veces es mejor zanjar discusiones innecesarias y seguir adelante.","210","125.0","A veces es mejor zanjar discusiones innecesarias y seguir adelante.","1024","2","48000","-16","experiment","0","200","even","204976.5814","208411.21740000005","210990.8695999999","208670.42550000007","zanjar","4","204976.43949999998","208670.38439999998","204768.66189999998","NA","211099.1439999999","63922.13119999997","213808.92510000002","29075.044299999943","208661.34539999996","204768.73890000003","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","203985.37239999996","14352.230100000043","211100.62879999998","213808.97160000008","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","204768.678","204768.71829999992","17066.146499999944","204768.75259999998","204628.7671","NA","NA","NA","NA","204768.70599999995","204968.94950000002","204768.5699","Sampling_Rate_Experiment","9","15464.473499999993","12","1","1","experimental","250","100","no","1920","1854.14626101218","100","1728.0","150","1027.2542529306165","565.0","515.0","972.0"
"corrales","juguetes","1","2","","","75","True","75","1288","1288","white","yes","EyeLogicLite","1","712","psycho","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","29","29","29","0","29","0","30","0","29","29","0","0","0","0","0","29","0","29","29","0","0","0","0","0","29","29","0","29","29","0","0","0","0","29","29","29","b2","","","En la tienda de bebés encontramos algunos corrales muy grandes y bien equipados.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","219925.16910000006","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","NO","1080","12","151","NO","106","None","psycho","36","24","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","13","1","Neonatal Nightingale","4.1.8","En la tienda de bebés encontramos algunos ","7","2","yes","0","1","NA","1","1","1","NA","1","2702.3177000001015","NA","1923.9662999999637","2707.675399999973","2702.3177000001015","NA","4789.089399999968","2","psycho","En la tienda de bebés encontramos algunos corrales muy grandes y bien equipados.","En la tienda de bebés encontramos algunos ","En la tienda de bebés encontramos algunos juguetes educativos y coloridos.","En la tienda de bebés encontramos algunos corrales muy grandes y bien equipados.","306","125.0","En la tienda de bebés encontramos algunos corrales muy grandes y bien equipados.","1024","2","48000","-16","experiment","0","200","even","214831.29399999997","216348.7431","219925.0883000001","216607.30649999995","corrales","7","214831.19939999995","216607.28230000008","214628.32779999997","NA","211099.1439999999","63922.13119999997","220031.89280000003","29075.044299999943","216598.88839999997","214628.36789999995","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","213816.55009999996","14352.230100000043","211100.62879999998","220032.04809999999","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","214628.3411999999","214628.35890000008","17066.146499999944","214628.3795999999","214458.50819999998","NA","NA","NA","NA","214628.35030000008","214823.39549999996","214628.25770000007","Sampling_Rate_Experiment","9","15464.473499999993","12","1","1","experimental","250","100","no","1920","1861.4844582542246","100","1728.0","150","1010.6006376946882","565.0","515.0","972.0"
"engranajes","prejuicios","1","2","¿Hace falta más información?","¿Los engranajes se lubrican solos?","76","True","76","1315","1315","white","yes","EyeLogicLite","1","321","psycho","psycho","psycho","0","relative","1","YES","undefined","1","NO","undefined","2","30","30","30","0","30","0","31","0","30","30","0","0","0","0","0","30","0","30","30","0","0","0","0","0","30","30","0","30","30","0","0","0","0","30","30","30","b2","NO","¿Los engranajes se lubrican solos?","A menudo, los engranajes necesitan lubricación para funcionar correctamente y durar más tiempo.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","223836.60610000003","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","YES","1080","12","127","YES","64","None","psycho","36","25","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","13","1","Neonatal Nightingale","4.1.8","A menudo, los ","3","2","yes","0","2","NA","1","1","2","NA","1","1631.1667000000016","NA","1923.9662999999637","2707.675399999973","1631.1667000000016","NA","4789.089399999968","2","psycho","A menudo, los engranajes necesitan lubricación para funcionar correctamente y durar más tiempo.","A menudo, los ","A menudo, los prejuicios son resultado de la falta de información.","A menudo, los engranajes necesitan lubricación para funcionar correctamente y durar más tiempo.","294","125.0","A menudo, los engranajes necesitan lubricación para funcionar correctamente y durar más tiempo.","1024","2","48000","-16","experiment","0","200","even","221066.97470000005","221429.1783","223836.52249999988","221687.4368","engranajes","3","221066.87780000005","221687.41149999993","220860.8625999999","NA","223943.49309999996","63922.13119999997","225582.01930000007","29075.044299999943","221679.33800000002","220860.9067000001","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","220042.02359999987","14352.230100000043","223944.90129999997","225582.07189999995","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","220860.8779","220860.89750000008","17066.146499999944","220860.9186","220685.23700000002","NA","NA","NA","NA","220860.88779999988","221060.86339999991","220860.74380000003","Sampling_Rate_Experiment","10","17095.640199999994","13","1","1","experimental","250","100","no","1920","1809.1989312707033","100","1728.0","150","1011.2137964062633","565.0","515.0","972.0"
"mundana","poblada","1","2","","","76","True","76","1315","1315","white","yes","EyeLogicLite","1","349","psycho","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","31","31","31","0","31","0","32","0","31","31","0","0","0","0","0","31","0","31","31","0","0","0","0","0","31","31","0","31","31","0","0","0","0","31","31","31","b2","","","La zona era muy poblada y ruidosa.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","229808.00809999995","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","6","187","NO","420","None","psycho","36","26","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","7","1","Neonatal Nightingale","4.1.8","La zona era muy ","4","2","yes","0","2","NA","1","1","2","NA","1","1631.1667000000016","NA","1923.9662999999637","2707.675399999973","1631.1667000000016","NA","4789.089399999968","2","psycho","La zona era muy poblada y ruidosa.","La zona era muy ","La zona era muy poblada y ruidosa.","La zona era muy mundana y aburrida.","65","125.0","La zona era muy poblada y ruidosa.","1024","2","48000","-16","experiment","0","200","even","226561.0926999999","227740.0093","229807.90590000004","227999.07459999996","poblada","4","226560.9994","227999.05019999994","226355.63169999988","NA","223943.49309999996","63922.13119999997","229914.03230000002","29075.044299999943","227990.14509999994","226355.6817","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","225594.12759999998","14352.230100000043","223944.90129999997","229914.0787","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","226355.64809999993","226355.6717","17066.146499999944","226355.69569999995","226241.73319999987","NA","NA","NA","NA","226355.6597999999","226554.7894","226355.54289999994","Sampling_Rate_Experiment","10","17095.640199999994","13","1","1","experimental","250","100","no","1920","1834.2661211476543","100","1728.0","150","1034.366631304438","565.0","515.0","972.0"
"llamarlo","esconder","1","2","¿Optó la persona por la honestidad a pesar de las consecuencias?","¿Fue el comportamiento de la otra persona el motivo de la falta de contacto?","78","True","78","1401","1401","white","yes","EyeLogicLite","1","278","psycho","psycho","psycho","0","relative","1","YES","undefined","1","YES","undefined","1","32","32","32","0","32","0","33","0","32","32","0","0","0","0","0","32","0","32","32","0","0","0","0","0","32","32","0","32","32","0","0","0","0","32","32","32","b2","YES","¿Fue el comportamiento de la otra persona el motivo de la falta de contacto?","Decidió no llamarlo debido a su mala actitud.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","235520.5061999999","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","YES","1080","7","105","YES","223","None","psycho","36","27","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","8","1","Neonatal Nightingale","4.1.8","Decidió no ","2","2","yes","0","1","NA","1","1","1","NA","1","2518.9910000001255","NA","1923.9662999999637","2707.675399999973","2518.9910000001255","NA","4789.089399999968","2","psycho","Decidió no llamarlo debido a su mala actitud.","Decidió no ","Decidió no esconder la verdad bajo la alfombra.","Decidió no llamarlo debido a su mala actitud.","170","125.0","Decidió no llamarlo debido a su mala actitud.","1024","2","48000","-16","experiment","0","200","even","230881.9505","233413.23939999996","235520.4084999999","233670.58340000006","llamarlo","2","230881.86340000003","233670.54219999988","230680.59879999998","NA","235627.47000000003","63922.13119999997","238154.02920000008","29075.044299999943","233663.39570000002","230680.6425000001","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","229922.33980000005","14352.230100000043","235628.8381999999","238154.07210000002","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","230680.61309999996","230680.6324999999","17066.146499999944","230680.6554000001","230559.42429999993","NA","NA","NA","NA","230680.6226","230875.84230000005","230680.52309999996","Sampling_Rate_Experiment","11","19614.63120000012","14","1","1","experimental","250","100","no","1920","1754.1895701628414","100","1728.0","150","1047.865507307357","565.0","515.0","972.0"
"exime","sirve","1","2","","","78","True","78","1401","1401","white","yes","EyeLogicLite","1","461","psycho","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","33","33","33","0","33","0","34","0","33","33","0","0","0","0","0","33","0","33","33","0","0","0","0","0","33","33","0","33","33","0","0","0","0","33","33","33","b2","","","El documento presentado sirve como base para futuras discusiones.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","244469.8778999999","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","8","172","NO","188","None","psycho","36","28","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","9","1","Neonatal Nightingale","4.1.8","El documento presentado ","3","2","yes","0","1","NA","1","1","1","NA","1","2518.9910000001255","NA","1923.9662999999637","2707.675399999973","2518.9910000001255","NA","4789.089399999968","2","psycho","El documento presentado sirve como base para futuras discusiones.","El documento presentado ","El documento presentado sirve como base para futuras discusiones.","El documento presentado exime de responsabilidad al gobierno en esta situación.","253","125.0","El documento presentado sirve como base para futuras discusiones.","1024","2","48000","-16","experiment","0","200","even","239148.7825999999","241581.38040000005","244469.77679999996","241840.01849999992","sirve","3","239148.6839999999","241839.9736","238947.41540000006","NA","235627.47000000003","63922.13119999997","244575.9749","29075.044299999943","241831.5202","238947.4609","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","238162.4051","14352.230100000043","235628.8381999999","244576.02600000007","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","238947.43099999992","238947.45210000008","17066.146499999944","238947.4721","238820.91589999993","NA","NA","NA","NA","238947.44049999997","239141.886","238947.33129999996","Sampling_Rate_Experiment","11","19614.63120000012","14","1","1","experimental","250","100","no","1920","1853.8151084336848","100","1728.0","150","1017.1125835576464","565.0","515.0","972.0"
"reliquia","cantidad","1","2","","","78","True","78","1401","1401","white","yes","EyeLogicLite","1","740","psycho","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","34","34","34","0","34","0","35","0","34","34","0","0","0","0","0","34","0","34","34","0","0","0","0","0","34","34","0","34","34","0","0","0","0","34","34","34","b2","","","La tienda de antigüedades tenía una hermosa reliquia de origen desconocido.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","253021.60489999995","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","NO","1080","10","175","NO","20","None","psycho","36","29","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","11","1","Neonatal Nightingale","4.1.8","La tienda de antigüedades tenía una hermosa ","7","2","yes","0","1","NA","1","1","1","NA","1","2518.9910000001255","NA","1923.9662999999637","2707.675399999973","2518.9910000001255","NA","4789.089399999968","2","psycho","La tienda de antigüedades tenía una hermosa reliquia de origen desconocido.","La tienda de antigüedades tenía una hermosa ","La tienda de antigüedades tenía una hermosa cantidad de objetos raros y fascinantes.","La tienda de antigüedades tenía una hermosa reliquia de origen desconocido.","286","125.0","La tienda de antigüedades tenía una hermosa reliquia de origen desconocido.","1024","2","48000","-16","experiment","0","200","even","245585.10790000003","248591.9087000001","253021.52629999988","248850.00430000003","reliquia","7","245584.90399999995","248849.9796","245384.60569999996","NA","235627.47000000003","63922.13119999997","253127.4846","29075.044299999943","248842.06660000008","245384.64540000007","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","244584.03149999992","14352.230100000043","235628.8381999999","253127.5406000001","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","245384.61930000005","245384.63680000007","17066.146499999944","245384.65729999996","245232.91359999997","NA","NA","NA","NA","245384.6284","245578.1103999999","245384.53579999998","Sampling_Rate_Experiment","11","19614.63120000012","14","1","1","experimental","250","100","no","1920","1816.467314095527","100","1728.0","150","1047.6778765686058","565.0","515.0","972.0"
"estarse","recibir","1","2","","","78","True","78","1401","1401","white","yes","EyeLogicLite","1","502","psycho","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","35","35","35","0","35","0","36","0","35","35","0","0","0","0","0","35","0","35","35","0","0","0","0","0","35","35","0","35","35","0","0","0","0","35","35","35","b2","","","Decidimos que lo mejor era recibir asesoramiento financiero antes de tomar una decisión irrevocable.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","259102.24260000006","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","13","169","NO","64","None","psycho","36","30","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","14","1","Neonatal Nightingale","4.1.8","Decidimos que lo mejor era ","5","2","yes","0","1","NA","1","1","1","NA","1","2518.9910000001255","NA","1923.9662999999637","2707.675399999973","2518.9910000001255","NA","4789.089399999968","2","psycho","Decidimos que lo mejor era recibir asesoramiento financiero antes de tomar una decisión irrevocable.","Decidimos que lo mejor era ","Decidimos que lo mejor era recibir asesoramiento financiero antes de tomar una decisión irrevocable.","Decidimos que lo mejor era estarse tranquilos y esperar a que las cosas se calmen.","237","125.0","Decidimos que lo mejor era recibir asesoramiento financiero antes de tomar una decisión irrevocable.","1024","2","48000","-16","experiment","0","200","even","254175.31279999993","255155.59599999993","259102.1104","255413.0649","recibir","5","254175.14249999987","255413.04120000007","253968.29420000006","NA","235627.47000000003","63922.13119999997","259208.59540000005","29075.044299999943","255405.81899999996","253968.33679999996","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","253135.9306999999","14352.230100000043","235628.8381999999","259208.74519999995","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","253968.30850000004","253968.32710000002","17066.146499999944","253968.34840000008","253791.9576999999","NA","NA","NA","NA","253968.31800000006","254166.52850000001","253968.19749999998","Sampling_Rate_Experiment","11","19614.63120000012","14","1","1","experimental","250","100","no","1920","1882.9738070776962","100","1728.0","150","1038.0806178235287","565.0","515.0","972.0"
"literatos","profundos","1","2","","","78","True","78","1401","1401","white","yes","EyeLogicLite","1","321","psycho","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","36","36","36","0","36","0","37","0","36","36","0","0","0","0","0","36","0","36","36","0","0","0","0","0","36","36","0","36","36","0","0","0","0","36","36","36","b2","","","Muchos de los literatos clásicos han influenciado la literatura contemporánea.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","263481.8461000001","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","NO","1080","9","189","NO","16","None","psycho","36","31","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","10","1","Neonatal Nightingale","4.1.8","Muchos de los ","3","2","yes","0","1","NA","1","1","1","NA","1","2518.9910000001255","NA","1923.9662999999637","2707.675399999973","2518.9910000001255","NA","4789.089399999968","2","psycho","Muchos de los literatos clásicos han influenciado la literatura contemporánea.","Muchos de los ","Muchos de los profundos secretos de la naturaleza siguen siendo desconocidos para nosotros.","Muchos de los literatos clásicos han influenciado la literatura contemporánea.","70","125.0","Muchos de los literatos clásicos han influenciado la literatura contemporánea.","1024","2","48000","-16","experiment","0","200","even","260189.1750000001","260758.8262999999","263481.7626999999","261016.72599999994","literatos","3","260189.082","261016.69929999992","259982.35149999993","NA","235627.47000000003","63922.13119999997","263588.05999999994","29075.044299999943","261008.9704999999","259982.4050000001","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","259217.23480000003","14352.230100000043","235628.8381999999","263588.1103999999","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","259982.37349999987","259982.3966","17066.146499999944","259982.41670000003","259845.28579999995","NA","NA","NA","NA","259982.38679999998","260181.4306","259982.26220000003","Sampling_Rate_Experiment","11","19614.63120000012","14","1","1","experimental","250","100","no","1920","1850.1873063906296","100","1728.0","150","1053.3452143677887","565.0","515.0","972.0"
"ileso","justo","1","2","¿Salió tarde para la reunión?","¿La persona resultó herida en el accidente?","80","True","80","1445","1445","white","yes","EyeLogicLite","1","448","psycho","psycho","psycho","0","relative","1","NO","undefined","1","NO","undefined","2","37","37","37","0","37","0","38","0","37","37","0","0","0","0","0","37","0","37","37","0","0","0","0","0","37","37","0","37","37","0","0","0","0","37","37","37","b2","NO","¿La persona resultó herida en el accidente?","Afortunadamente, salió ileso del pequeño accidente.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","268801.4761000001","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","YES","1080","5","133","YES","249","None","psycho","36","32","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","6","1","Neonatal Nightingale","4.1.8","Afortunadamente, salió ","2","2","yes","0","2","NA","1","1","2","NA","1","2065.4218000001856","NA","1923.9662999999637","2707.675399999973","2065.4218000001856","NA","4789.089399999968","2","psycho","Afortunadamente, salió ileso del pequeño accidente.","Afortunadamente, salió ","Afortunadamente, salió justo a tiempo para la reunión.","Afortunadamente, salió ileso del pequeño accidente.","42","125.0","Afortunadamente, salió ileso del pequeño accidente.","1024","2","48000","-16","experiment","0","200","even","264548.5216999999","266387.22279999993","268801.3680999999","266645.9517","ileso","2","264548.4117","266645.9294","264344.84800000006","NA","268908.0089","63922.13119999997","270981.6058","29075.044299999943","266637.3577999999","264344.89100000006","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","263594.38579999993","14352.230100000043","268909.36099999986","270981.67260000005","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","264344.86460000003","264344.88240000006","17066.146499999944","264344.9013999999","264236.1835999999","NA","NA","NA","NA","264344.874","264540.79889999994","264344.70320000005","Sampling_Rate_Experiment","12","21680.053000000305","15","1","1","experimental","250","100","no","1920","1820.3641284635614","100","1728.0","150","1022.9773684578615","565.0","515.0","972.0"
"acogidas","palabras","1","2","","","80","True","80","1445","1445","white","yes","EyeLogicLite","1","865","psycho","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","38","38","38","0","38","0","39","0","38","38","0","0","0","0","0","38","0","38","38","0","0","0","0","0","38","38","0","38","38","0","0","0","0","38","38","38","b2","","","Las mejores experiencias son aquellas en las que las acogidas son cálidas y amistosas.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","278726.6350000001","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","NO","1080","13","155","NO","175","None","psycho","36","33","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","14","1","Neonatal Nightingale","4.1.8","Las mejores experiencias son aquellas en las que las ","9","2","yes","0","2","NA","1","1","2","NA","1","2065.4218000001856","NA","1923.9662999999637","2707.675399999973","2065.4218000001856","NA","4789.089399999968","2","psycho","Las mejores experiencias son aquellas en las que las acogidas son cálidas y amistosas.","Las mejores experiencias son aquellas en las que las ","Las mejores experiencias son aquellas en las que las palabras sobran y las acciones hablan por sí solas.","Las mejores experiencias son aquellas en las que las acogidas son cálidas y amistosas.","328","125.0","Las mejores experiencias son aquellas en las que las acogidas son cálidas y amistosas.","1024","2","48000","-16","experiment","0","200","even","272023.41680000006","275103.88169999997","278726.55849999987","275362.08709999995","acogidas","9","272023.3105000001","275362.0612000001","271821.37069999985","NA","268908.0089","63922.13119999997","278832.29900000006","29075.044299999943","275354.029","271821.4127","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","270990.1401000001","14352.230100000043","268909.36099999986","278832.34770000004","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","271821.3852","271821.4039999999","17066.146499999944","271821.4245999999","271643.7809","NA","NA","NA","NA","271821.3950000001","272016.07950000005","271821.2626000001","Sampling_Rate_Experiment","12","21680.053000000305","15","1","1","experimental","250","100","no","1920","1823.6485326528395","100","1728.0","150","1043.8483785918388","565.0","515.0","972.0"
"incumplimientos","descubrimientos","1","2","¿La frase habla de la importancia de la planificación?","¿Se cumplió todo?","81","True","81","1501","1501","white","yes","EyeLogicLite","1","559","psycho","psycho","psycho","0","relative","1","NO","undefined","1","NO","undefined","2","39","39","39","0","39","0","40","0","39","39","0","0","0","0","0","39","0","39","39","0","0","0","0","0","39","39","0","39","39","0","0","0","0","39","39","39","b2","NO","¿La frase habla de la importancia de la planificación?","Algunos de los más importantes descubrimientos científicos fueron realizados por accidente.","Wed Mar  4 15:11:24 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading","0","1","283757.7895999999","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","YES","1080","10","128","YES","81","None","psycho","36","34","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\subject-200.csv","psycho","11","1","Neonatal Nightingale","4.1.8","Algunos de los más importantes ","5","2","yes","0","2","NA","1","1","2","NA","1","2346.439500000095","NA","1923.9662999999637","2707.675399999973","2346.439500000095","NA","4789.089399999968","2","psycho","Algunos de los más importantes descubrimientos científicos fueron realizados por accidente.","Algunos de los más importantes ","Algunos de los más importantes descubrimientos científicos fueron realizados por accidente.","Algunos de los más importantes incumplimientos han afectado al medio ambiente.","299","125.0","Algunos de los más importantes descubrimientos científicos fueron realizados por accidente.","1024","2","48000","-16","experiment","0","200","even","279845.15709999995","281109.7149000001","283757.7050000001","281367.61809999996","descubrimientos","5","279845.05090000003","281367.5913000001","279642.1276","NA","283865.01379999996","63922.13119999997","286219.18160000007","29075.044299999943","281360.0044999999","279642.1687000001","NA","61990.827299999975","10296.553000000018","63922.704599999975","63915.61339999999","278840.59659999993","14352.230100000043","283866.42199999996","286219.2398999999","NA","33897.6811","29108.091199999988","29075.11820000002","29102.19840000002","279642.1414","279642.1598000001","17066.146499999944","279642.18809999997","279493.7011999999","NA","NA","NA","NA","279642.1506999999","279838.27729999996","279642.0592000001","Sampling_Rate_Experiment","13","24026.4925000004","16","1","1","experimental","250","100","no","1920","1918.757527352112","100","1728.0","150","1161.8861950287678","565.0","515.0","972.0"
