"A1","A2","Block_nr_Condition_3","Block_nr_Condition_4","Q_high","Q_low","acc","acceptable","accuracy","anchor_width","average_response_time","avg_rt","background","bidi","block_eyetracker","block_number","boundary","boundary_left_correction","canvas_backend","ch","char_idx","char_right_boundary","chars_so_far","clock_backend","color_backend","compensation","coordinates","correct","correct_high","correct_instructions","correct_keyboard_response","correct_low","correct_practice_instructions","correct_response","count_GC_sentence_trigger","count_GC_trial_end","count_Setup_Sampling_Rate","count_about_this_experiment","count_acceptability_question","count_block_sequence","count_clear_screen","count_counterbalancingMODE","count_display_sentence","count_drift_correct","count_end_of_exp","count_end_of_practice_1","count_experiment","count_experiment_block_loop","count_experimental_loop","count_eyetracker_log_unicode","count_function_save_canvas_as_image","count_instructions","count_keyboard_response","count_logger","count_new_sketchpad","count_practice_block_loop","count_practice_instructions","count_practice_loop","count_practice_sequence","count_prepare_gaze_target","count_prepare_sentences","count_pygaze_init","count_pygaze_start_recording","count_pygaze_stop_recording","count_reset_feedback","count_reset_feedback_1","count_select_block","count_select_practice","count_set_test_mode","count_setup_condition","count_show_gaze_target_and_driftcorrect","count_test_mode_warning","count_trial_sequence","current_block","current_correct_text","current_question","current_sentence","current_string","datetime","description","desired_sampling_rate","disable_garbage_collection","do_practice","experiment_file","experiment_path","first_anchored","first_char","first_right","fix_start_time","fixated","fixation_start_time","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","freq_condition","fullscreen","gazetarget_height","gazetarget_width","has_question","height","i","index","is_Q","item_nr","key","keyboard_backend","len_high","len_low","letter_height","live_row","live_row_practice_block_loop","live_row_practice_loop","logfile","mouse_backend","num_words","on_target","opensesame_codename","opensesame_version","pretarget","pretarget_n_words","psychopy_screen","psychopy_suppress_warnings","repeat_cycle","response","response_end_of_exp","response_end_of_practice_1","response_instructions","response_keyboard_response","response_new_sketchpad","response_practice_instructions","response_test_mode_warning","response_time","response_time_end_of_exp","response_time_end_of_practice_1","response_time_instructions","response_time_keyboard_response","response_time_new_sketchpad","response_time_practice_instructions","response_time_test_mode_warning","right_bound_px","round_decimals","sampler_backend","sentence","sentence_beginning","sentence_chars","sentence_high","sentence_left_boundary","sentence_low","sentence_number","sentence_start_x","sentence_use","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_mod","subject_nr","subject_parity","t","t1","t2","t_display_on","target","target_word_nr","test_mode","text_left_x","time_GC_sentence_trigger","time_GC_trial_end","time_Setup_Sampling_Rate","time_about_this_experiment","time_acceptability_question","time_block_sequence","time_clear_screen","time_counterbalancingMODE","time_display_sentence","time_drift_correct","time_end_of_exp","time_end_of_practice_1","time_experiment","time_experiment_block_loop","time_experimental_loop","time_eyetracker_log_unicode","time_function_save_canvas_as_image","time_instructions","time_keyboard_response","time_logger","time_new_sketchpad","time_practice_block_loop","time_practice_instructions","time_practice_loop","time_practice_sequence","time_prepare_gaze_target","time_prepare_sentences","time_pygaze_init","time_pygaze_start_recording","time_pygaze_stop_recording","time_reset_feedback","time_reset_feedback_1","time_select_block","time_select_practice","time_set_test_mode","time_setup_condition","time_show_gaze_target_and_driftcorrect","time_test_mode_warning","time_trial_sequence","title","total_correct","total_response_time","total_responses","trial_end_trigger_fixated","trial_end_trigger_on_target","trial_type","trigger_time_gazetarget","trigger_time_trialend","uniform_coordinates","width","word","word_idx","x","x_left_gazetarget","x_left_trialend","x_right_gazetarget","y","y_bottom_gazetarget","y_top_gazetarget","y_top_trialend"
"esquiador","cansancio","1","2","","","100","True","100","3","1595","1595","white","yes","EyeLogicOne","0","745","0.14","psycho",".","6","1347","Después de un día entero en la montaña, el cansancio era evidente y las piernas dolían.","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","24","24","24","0","24","0","25","0","24","24","0","0","0","0","0","24","0","0","24","24","NA","0","0","0","0","24","24","0","24","24","0","0","0","0","0","24","24","0","24","b1","","","Después de un día entero en la montaña, el cansancio era evidente y las piernas dolían.","Después de un día entero en la montaña, el cansancio era evidente y las piernas dolían.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","D","19","0","1","240554.00139999983","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","15","39","NO","301","None","psycho","87","99","36","19","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","16","1","Neonatal Nightingale","4.1.8","Después de un día entero en la montaña, el ","9","2","yes","0","2","NA","2","4","2","NA","4","NA","1274.9113000027137","NA","6419.381100000464","3929.567800005316","1274.9113000027137","NA","14522.53680001013","NA","1347","2","psycho","Después de un día entero en la montaña, el cansancio era evidente y las piernas dolían.","Después de un día entero en la montaña, el ","Después de un día entero en la montaña, el cansancio era evidente y las piernas dolían.","Después de un día entero en la montaña, el cansancio era evidente y las piernas dolían.","119","Después de un día entero en la montaña, el esquiador se sentía exhausto pero lleno de satisfacción.","369","125.0","Después de un día entero en la montaña, el cansancio era evidente y las piernas dolían.","1024","2","48000","-16","experiment","0","4","even","237404.48129999277","237894.20169999357","240553.903299995","238152.9198999924","cansancio","9","False","119","237404.3815999903","238152.8965000034","237225.08709999966","NA","198881.41960000212","99266.49239999824","240660.50659999019","30612.667800000054","238144.3411999935","237225.13150000304","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","235734.6744999959","5933.413799997652","12333.50339999015","198883.08849999157","240660.55279999273","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","237225.10569999577","237225.12370000186","16269.431099994108","237225.1421999972","236441.05339999078","NA","NA","NA","NA","10482.120599990594","237225.11509999458","237396.63299999665","NA","237224.92670000065","Sampling_Rate_Experiment","4","6380.768599992734","4","1","1","experimental","250","100","no","1920","dolían.","15","1845.5656616340434","100","1728.0","150","978.3893886643536","565.0","515.0","972.0"
"aprendieron","registraron","1","2","","","100","True","100","3","1595","1595","white","yes","EyeLogicOne","0","578","0.14","psycho",".","11","1138","En la escuela, los estudiantes aprendieron sobre historia y matemáticas.","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","25","25","25","0","25","0","26","0","25","25","0","0","0","0","0","25","0","0","25","25","NA","0","0","0","0","25","25","0","25","25","0","0","0","0","0","25","25","0","25","b1","","","En la escuela, los estudiantes aprendieron sobre historia y matemáticas.","En la escuela, los estudiantes aprendieron sobre historia y matemáticas.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","E","20","0","1","244406.12600000168","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","NO","1080","9","44","NO","10","None","psycho","80","72","36","20","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","10","1","Neonatal Nightingale","4.1.8","En la escuela, los estudiantes ","5","2","yes","0","2","NA","2","4","2","NA","4","NA","1274.9113000027137","NA","6419.381100000464","3929.567800005316","1274.9113000027137","NA","14522.53680001013","NA","1138","2","psycho","En la escuela, los estudiantes aprendieron sobre historia y matemáticas.","En la escuela, los estudiantes ","En la escuela, los estudiantes aprendieron sobre historia y matemáticas.","En la escuela, los estudiantes registraron su asistencia en la libreta de notas.","120","En la escuela, los estudiantes aprendieron sobre historia y matemáticas.","242","125.0","En la escuela, los estudiantes aprendieron sobre historia y matemáticas.","1024","2","48000","-16","experiment","0","4","even","242217.24719999474","242374.9242999911","244406.04719999828","242635.11540000036","aprendieron","5","False","120","242217.14979999524","242635.09049999993","242037.51129999","NA","198881.41960000212","99266.49239999824","244512.02949999424","30612.667800000054","242625.09429999045","242037.55470000033","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","240668.9161999966","5933.413799997652","12333.50339999015","198883.08849999157","244512.081199995","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","242037.52859999076","242037.54689999914","16269.431099994108","242037.565599996","241376.09799999336","NA","NA","NA","NA","10482.120599990594","242037.53790000337","242208.83269999467","NA","242037.3067999899","Sampling_Rate_Experiment","4","6380.768599992734","4","1","1","experimental","250","100","no","1920","matemáticas.","9","1846.8569181516953","100","1728.0","150","989.6479861392422","565.0","515.0","972.0"
"recapacitar","reconstruir","1","2","","","100","True","100","3","1595","1595","white","yes","EyeLogicOne","0","466","0.14","psycho",".","7","1026","Es necesario empezar a recapacitar nuestra estrategia y enfoque.","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","26","26","26","0","26","0","27","0","26","26","0","0","0","0","0","26","0","0","26","26","NA","0","0","0","0","26","26","0","26","26","0","0","0","0","0","26","26","0","26","b1","","","Es necesario empezar a recapacitar nuestra estrategia y enfoque.","Es necesario empezar a recapacitar nuestra estrategia y enfoque.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","E","20","0","1","248714.79040000122","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","NO","1080","8","91","NO","197","None","psycho","81","64","36","21","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","9","1","Neonatal Nightingale","4.1.8","Es necesario empezar a","4","2","yes","0","2","NA","2","4","2","NA","4","NA","1274.9113000027137","NA","6419.381100000464","3929.567800005316","1274.9113000027137","NA","14522.53680001013","NA","1026","2","psycho","Es necesario empezar a recapacitar nuestra estrategia y enfoque.","Es necesario empezar a","Es necesario empezar a recapacitar nuestra estrategia y enfoque.","Es necesario empezar a reconstruir nuestras relaciones y mejorar la comunicación.","120","Es necesario empezar a recapacitar nuestra estrategia y enfoque.","238","125.0","Es necesario empezar a recapacitar nuestra estrategia y enfoque.","1024","2","48000","-16","experiment","0","4","even","245999.07489999896","246537.37659999751","248714.72150000045","246795.25129999092","recapacitar","4","False","120","245998.96349999472","246795.22620000353","245818.58880000073","NA","198881.41960000212","99266.49239999824","248822.43780000135","30612.667800000054","246787.50369999034","245818.62599999295","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","244518.63229999435","5933.413799997652","12333.50339999015","198883.08849999157","248822.48519999848","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","245818.60099999176","245818.61799999024","16269.431099994108","245818.63650000014","245218.6359999905","NA","NA","NA","NA","10482.120599990594","245818.60980000056","245989.8908999894","NA","245818.51460000325","Sampling_Rate_Experiment","4","6380.768599992734","4","1","1","experimental","250","100","no","1920","enfoque.","8","1826.5466087106058","100","1728.0","150","985.386411359968","565.0","515.0","972.0"
"adversidades","innovaciones","1","2","","","100","True","100","3","1595","1595","white","yes","EyeLogicOne","0","606","0.14","psycho",".","5","1376","En tiempos de incertidumbre, las innovaciones tecnológicas son más importantes que nunca.","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","27","27","27","0","27","0","28","0","27","27","0","0","0","0","0","27","0","0","27","27","NA","0","0","0","0","27","27","0","27","27","0","0","0","0","0","27","27","0","27","b1","","","En tiempos de incertidumbre, las innovaciones tecnológicas son más importantes que nunca.","En tiempos de incertidumbre, las innovaciones tecnológicas son más importantes que nunca.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","E","20","0","1","253351.12569999183","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","11","72","NO","40","None","psycho","89","82","36","22","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","12","1","Neonatal Nightingale","4.1.8","En tiempos de incertidumbre, las ","5","2","yes","0","2","NA","2","4","2","NA","4","NA","1274.9113000027137","NA","6419.381100000464","3929.567800005316","1274.9113000027137","NA","14522.53680001013","NA","1376","2","psycho","En tiempos de incertidumbre, las innovaciones tecnológicas son más importantes que nunca.","En tiempos de incertidumbre, las ","En tiempos de incertidumbre, las innovaciones tecnológicas son más importantes que nunca.","En tiempos de incertidumbre, las innovaciones tecnológicas son más importantes que nunca.","120","En tiempos de incertidumbre, las adversidades pueden convertirse en oportunidades.","289","125.0","En tiempos de incertidumbre, las innovaciones tecnológicas son más importantes que nunca.","1024","2","48000","-16","experiment","0","4","even","250508.74889999977","251067.9528000037","253351.05929999554","251326.5545000031","innovaciones","5","False","120","250508.63359999494","251326.5282999928","250330.81699999457","NA","198881.41960000212","99266.49239999824","253458.43729999615","30612.667800000054","251318.10360000236","250330.8660999901","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","248830.65409999108","5933.413799997652","12333.50339999015","198883.08849999157","253458.48899999692","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","250330.83910000278","250330.85779999965","16269.431099994108","250330.8771000011","249531.8566999922","NA","NA","NA","NA","10482.120599990594","250330.84860000235","250501.90209998982","NA","250330.63779999793","Sampling_Rate_Experiment","4","6380.768599992734","4","1","1","experimental","250","100","no","1920","nunca.","11","1857.1332709963665","100","1728.0","150","979.2296015064919","565.0","515.0","972.0"
"envíen","queden","1","2","","","100","True","100","3","1595","1595","white","yes","EyeLogicOne","0","396","0.14","psycho",".","13","900","Es importante que queden bien claras las instrucciones.","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","28","28","28","0","28","0","29","0","28","28","0","0","0","0","0","28","0","0","28","28","NA","0","0","0","0","28","28","0","28","28","0","0","0","0","0","28","28","0","28","b1","","","Es importante que queden bien claras las instrucciones.","Es importante que queden bien claras las instrucciones.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","E","20","0","1","259445.49019999977","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","7","69","NO","367","None","psycho","55","61","36","23","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","8","1","Neonatal Nightingale","4.1.8","Es importante que ","3","2","yes","0","2","NA","2","4","2","NA","4","NA","1274.9113000027137","NA","6419.381100000464","3929.567800005316","1274.9113000027137","NA","14522.53680001013","NA","900","2","psycho","Es importante que queden bien claras las instrucciones.","Es importante que ","Es importante que queden bien claras las instrucciones.","Es importante que queden bien claras las instrucciones.","120","Es importante que envíen los documentos a tiempo y completos.","229","125.0","Es importante que queden bien claras las instrucciones.","1024","2","48000","-16","experiment","0","4","even","254899.83999999822","257349.5833999914","259445.3852000006","257606.55119999137","queden","3","False","120","254899.73249999457","257606.52489999484","254722.04110000166","NA","198881.41960000212","99266.49239999824","259551.42750000232","30612.667800000054","257599.69819999242","254722.08310000133","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","253467.32689999044","5933.413799997652","12333.50339999015","198883.08849999157","259551.51579999074","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","254722.05789999862","254722.0757000032","16269.431099994108","254722.0937999955","254175.01829999674","NA","NA","NA","NA","10482.120599990594","254722.06719999667","254892.62549999694","NA","254721.8361999985","Sampling_Rate_Experiment","4","6380.768599992734","4","1","1","experimental","250","100","no","1920","instrucciones.","7","1855.4661001789098","100","1728.0","150","984.3163233303385","565.0","515.0","972.0"
"necedades","moléculas","1","2","","","100","True","100","3","1595","1595","white","yes","EyeLogicOne","0","621","0.14","psycho",".","9","1391","Aunque parezcan irrelevantes, las necedades a veces pueden desencadenar grandes problemas.","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","29","29","29","0","29","0","30","0","29","29","0","0","0","0","0","29","0","0","29","29","NA","0","0","0","0","29","29","0","29","29","0","0","0","0","0","29","29","0","29","b1","","","Aunque parezcan irrelevantes, las necedades a veces pueden desencadenar grandes problemas.","Aunque parezcan irrelevantes, las necedades a veces pueden desencadenar grandes problemas.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","A","21","0","1","265130.10439999925","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","NO","1080","10","36","NO","212","None","psycho","90","90","36","24","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","11","1","Neonatal Nightingale","4.1.8","Aunque parezcan irrelevantes, las ","4","2","yes","0","2","NA","2","4","2","NA","4","NA","1274.9113000027137","NA","6419.381100000464","3929.567800005316","1274.9113000027137","NA","14522.53680001013","NA","1391","2","psycho","Aunque parezcan irrelevantes, las necedades a veces pueden desencadenar grandes problemas.","Aunque parezcan irrelevantes, las ","Aunque parezcan irrelevantes, las necedades a veces pueden desencadenar grandes problemas.","Aunque parezcan irrelevantes, las moléculas pequeñas pueden formar compuestos más grandes.","121","Aunque parezcan irrelevantes, las necedades a veces pueden desencadenar grandes problemas.","338","125.0","Aunque parezcan irrelevantes, las necedades a veces pueden desencadenar grandes problemas.","1024","2","48000","-16","experiment","0","4","even","261309.35290000343","261884.28119999298","265130.04109999747","262141.61109999986","necedades","4","False","121","261309.2595999915","262141.55919999757","261121.9895999966","NA","198881.41960000212","99266.49239999824","265236.54849999","30612.667800000054","262134.45169999613","261122.03139999474","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","259559.6996999957","5933.413799997652","12333.50339999015","198883.08849999157","265236.62329999206","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","261122.00550000125","261122.0234999928","16269.431099994108","261122.0425999927","260269.23069999611","NA","NA","NA","NA","10482.120599990594","261122.01490000007","261301.3734999986","NA","261121.83989999176","Sampling_Rate_Experiment","4","6380.768599992734","4","1","1","experimental","250","100","no","1920","problemas.","10","1881.9067207289777","100","1728.0","150","1031.4525474766565","565.0","515.0","972.0"
"irnos","jugar","1","2","","","100","True","100","3","1595","1595","white","yes","EyeLogicOne","0","788","0.14","psycho",".","9","1026","Una vez que terminemos de trabajar, podríamos irnos a descansar.","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","30","30","30","0","30","0","31","0","30","30","0","0","0","0","0","30","0","0","30","30","NA","0","0","0","0","30","30","0","30","30","0","0","0","0","0","30","30","0","30","b1","","","Una vez que terminemos de trabajar, podríamos irnos a descansar.","Una vez que terminemos de trabajar, podríamos irnos a descansar.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","U","20","0","1","268780.6920000003","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","NO","1080","9","59","NO","71","None","psycho","73","64","36","25","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","10","1","Neonatal Nightingale","4.1.8","Una vez que terminemos de trabajar, podríamos ","7","2","yes","0","2","NA","2","4","2","NA","4","NA","1274.9113000027137","NA","6419.381100000464","3929.567800005316","1274.9113000027137","NA","14522.53680001013","NA","1026","2","psycho","Una vez que terminemos de trabajar, podríamos irnos a descansar.","Una vez que terminemos de trabajar, podríamos ","Una vez que terminemos de trabajar, podríamos irnos a descansar.","Una vez que terminemos de trabajar, podríamos jugar un partido de fútbol.","120","Una vez que terminemos de trabajar, podríamos irnos a descansar.","192","125.0","Una vez que terminemos de trabajar, podríamos irnos a descansar.","1024","2","48000","-16","experiment","0","4","even","266749.73239999963","266982.5070999941","268780.60800000094","267239.7532000032","irnos","7","False","120","266749.53950000054","267239.7278999997","266572.3036999989","NA","198881.41960000212","99266.49239999824","268886.8785999948","30612.667800000054","267232.7052999899","266572.3529999959","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","265244.54459999106","5933.413799997652","12333.50339999015","198883.08849999157","268886.955199996","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","266572.325000001","266572.3447999917","16269.431099994108","266572.36409999314","265960.6378000026","NA","NA","NA","NA","10482.120599990594","266572.33519999136","266743.30180000106","NA","266572.1326999919","Sampling_Rate_Experiment","4","6380.768599992734","4","1","1","experimental","250","100","no","1920","descansar.","9","1814.7480009669011","100","1728.0","150","983.5498939909317","565.0","515.0","972.0"
"elegirán","seguirán","1","2","","","100","True","100","3","1595","1595","white","yes","EyeLogicOne","0","550","0.14","psycho",".","10","1138","En la próxima reunión, ellos seguirán discutiendo los puntos pendientes.","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","31","31","31","0","31","0","32","0","31","31","0","0","0","0","0","31","0","0","31","31","NA","0","0","0","0","31","31","0","31","31","0","0","0","0","0","31","31","0","31","b1","","","En la próxima reunión, ellos seguirán discutiendo los puntos pendientes.","En la próxima reunión, ellos seguirán discutiendo los puntos pendientes.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","E","20","0","1","274451.8534999952","False","Courier New","False","24","no","black","no","Sí","high","yes","50","50","NO","1080","9","45","NO","44","None","psycho","72","53","36","26","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","10","1","Neonatal Nightingale","4.1.8","En la próxima reunión, ellos ","5","2","yes","0","2","NA","2","4","2","NA","4","NA","1274.9113000027137","NA","6419.381100000464","3929.567800005316","1274.9113000027137","NA","14522.53680001013","NA","1138","2","psycho","En la próxima reunión, ellos seguirán discutiendo los puntos pendientes.","En la próxima reunión, ellos ","En la próxima reunión, ellos seguirán discutiendo los puntos pendientes.","En la próxima reunión, ellos seguirán discutiendo los puntos pendientes.","120","En la próxima reunión, ellos elegirán un nuevo líder.","251","125.0","En la próxima reunión, ellos seguirán discutiendo los puntos pendientes.","1024","2","48000","-16","experiment","0","4","even","270436.57489999896","272426.9733999972","274451.7965999985","272684.1140999895","seguirán","5","False","120","270436.47499999497","272684.08890000137","270256.9603000011","NA","198881.41960000212","99266.49239999824","274558.42980000307","30612.667800000054","272677.09399999876","270257.0083000028","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","268894.02579999296","5933.413799997652","12333.50339999015","198883.08849999157","274558.4872999898","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","270256.9813000009","270256.99979999627","16269.431099994108","270257.01999999","269601.4041000017","NA","NA","NA","NA","10482.120599990594","270256.99120000354","270429.91749999055","NA","270256.8215999927","Sampling_Rate_Experiment","4","6380.768599992734","4","1","1","experimental","250","100","no","1920","pendientes.","9","1747.0528013008325","100","1728.0","150","977.115706238523","565.0","515.0","972.0"
"balido","balcón","1","2","¿Es posible observar el paisaje rural desde ahí?","¿La frase menciona los pájaros en la selva?","100","True","100","3","1696","1696","white","yes","EyeLogicOne","0","269","0.14","psycho",".","5","1375","Desde el balido de las ovejas hasta el rugido de los leones, todo se escucha en la selva.","psycho","psycho","0","relative","1","NO","undefined","1","YES","undefined","1","32","32","32","0","32","0","33","0","32","32","0","0","0","0","0","32","0","0","32","32","NA","0","0","0","0","32","32","0","32","32","0","0","0","0","0","32","32","0","32","b1","YES","¿La frase menciona los pájaros en la selva?","Desde el balido de las ovejas hasta el rugido de los leones, todo se escucha en la selva.","Desde el balido de las ovejas hasta el rugido de los leones, todo se escucha en la selva.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","D","19","0","1","280024.5636999898","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","YES","1080","17","7","YES","247","None","psycho","64","89","36","27","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","18","1","Neonatal Nightingale","4.1.8","Desde el ","2","2","yes","0","1","NA","2","4","1","NA","4","NA","2103.5663000075147","NA","6419.381100000464","3929.567800005316","2103.5663000075147","NA","14522.53680001013","NA","1375","2","psycho","Desde el balido de las ovejas hasta el rugido de los leones, todo se escucha en la selva.","Desde el ","Desde el balido de las ovejas hasta el rugido de los leones, todo se escucha en la selva.","Desde el balcón se podía apreciar la hermosa vista de la ciudad.","119","Desde el balido de las ovejas hasta el rugido de los leones, todo se escucha en la selva.","350","125.0","Desde el balido de las ovejas hasta el rugido de los leones, todo se escucha en la selva.","1024","2","48000","-16","experiment","0","4","even","276259.25740000093","277493.1996999949","280024.47419999226","277750.39359999937","balido","2","False","119","276259.0682000009","277750.36869999894","276079.8153999931","NA","280135.0759999914","99266.49239999824","282246.09339999733","30612.667800000054","277743.3372999949","276079.86349999555","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","274566.8205999973","5933.413799997652","12333.50339999015","280136.4903999929","282246.1425999936","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","276079.8369999975","276079.8555999936","16269.431099994108","276079.8758000019","275270.44490000117","NA","NA","NA","NA","10482.120599990594","276079.8472000024","276252.03289999627","NA","276079.6425000008","Sampling_Rate_Experiment","5","8484.334900000249","5","1","1","experimental","250","100","no","1920","selva.","17","1790.831537825289","100","1728.0","150","1038.474978998249","565.0","515.0","972.0"
"implicó","confesó","1","2","","","100","True","100","3","1696","1696","white","yes","EyeLogicOne","0","494","0.14","psycho",".","4","942","El sospechoso finalmente implicó a su cómplice en el robo.","psycho","psycho","0","relative","1","","undefined","1","","undefined","None","33","33","33","0","33","0","34","0","33","33","0","0","0","0","0","33","0","0","33","33","NA","0","0","0","0","33","33","0","33","33","0","0","0","0","0","33","33","0","33","b1","","","El sospechoso finalmente implicó a su cómplice en el robo.","El sospechoso finalmente implicó a su cómplice en el robo.","Fri Apr 17 15:59:22 2026","Sampling rate","250","False","Sí","EyeLogic_Experiment_ONE.osexp","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE","25","E","20","0","1","286673.20669999754","False","Courier New","False","24","no","black","no","Sí","low","yes","50","50","NO","1080","9","54","NO","369","None","psycho","49","58","36","28","4","0","C:\Users\LabCINC\Documents\Experiments\eyelogicreading\ONE\subject-4.csv","psycho","10","1","Neonatal Nightingale","4.1.8","El sospechoso finalmente ","3","2","yes","0","1","NA","2","4","1","NA","4","NA","2103.5663000075147","NA","6419.381100000464","3929.567800005316","2103.5663000075147","NA","14522.53680001013","NA","942","2","psycho","El sospechoso finalmente implicó a su cómplice en el robo.","El sospechoso finalmente ","El sospechoso finalmente implicó a su cómplice en el robo.","El sospechoso finalmente confesó su crimen atroz.","120","El sospechoso finalmente implicó a su cómplice en el robo.","124","125.0","El sospechoso finalmente implicó a su cómplice en el robo.","1024","2","48000","-16","experiment","0","4","even","283715.7681999961","284977.37329998927","286673.1431999942","285237.3445999983","implicó","3","False","120","283715.66750000056","285237.3110999906","283523.86410000327","NA","280135.0759999914","99266.49239999824","286779.46079999674","30612.667800000054","285227.521599998","283523.915999991","NA","92845.63470000285","5933.157599996775","99266.58280000265","99266.14939999126","282254.1906999977","5933.413799997652","12333.50339999015","280136.4903999929","286779.52159999404","NA","45177.80489999859","30654.699199993047","30612.73280000023","30647.274799994193","283523.88749999227","283523.9078000013","16269.431099994108","283523.92779999354","282957.54289999604","NA","NA","NA","NA","10482.120599990594","283523.8984000025","283709.7983999993","NA","283523.7022999936","Sampling_Rate_Experiment","5","8484.334900000249","5","1","1","experimental","250","100","no","1920","robo.","9","1893.031497977095","100","1728.0","150","1026.2760591766466","565.0","515.0","972.0"
